"";"A";"B";"freq";"AA";"BB"
"1";1;13;0,000809178;"A1";"B13"
"2";1;14;0,001781666;"A1";"B14"
"3";1;15;0,003666328;"A1";"B15"
"4";1;18;0,001552243;"A1";"B18"
"5";1;27;0,001455803;"A1";"B27"
"6";1;35;0,008129012;"A1";"B35"
"7";1;37;0,007153186;"A1";"B37"
"8";1;38;0,002089852;"A1";"B38"
"9";1;39;0,001552279;"A1";"B39"
"10";1;40;0,001331928;"A1";"B40"
"11";1;41;0,001161751;"A1";"B41"
"12";1;42;4,59e-05;"A1";"B42"
"13";1;44;0,00600535;"A1";"B44"
"14";1;45;5,42e-05;"A1";"B45"
"15";1;47;3,85e-05;"A1";"B47"
"16";1;49;0,00194062;"A1";"B49"
"17";1;50;0,000964987;"A1";"B50"
"18";1;51;0,006617679;"A1";"B51"
"19";1;52;0,002541526;"A1";"B52"
"20";1;53;0,000235597;"A1";"B53"
"21";1;55;0,000395477;"A1";"B55"
"22";1;56;0,000155368;"A1";"B56"
"23";1;57;0,011674045;"A1";"B57"
"24";1;58;0,003733004;"A1";"B58"
"25";1;67;3,31e-09;"A1";"B67"
"26";1;7;0,002997843;"A1";"B7"
"27";1;73;1,77e-11;"A1";"B73"
"28";1;8;0,040821596;"A1";"B8"
"29";1;81;3,63e-05;"A1";"B81"
"30";11;13;5,85e-05;"A11";"B13"
"31";11;14;0,004532097;"A11";"B14"
"32";11;15;0,002116616;"A11";"B15"
"33";11;18;0,003339992;"A11";"B18"
"34";11;27;0,003692026;"A11";"B27"
"35";11;35;0,020039601;"A11";"B35"
"36";11;37;0,000249247;"A11";"B37"
"37";11;38;0,00069157;"A11";"B38"
"38";11;39;0,000589961;"A11";"B39"
"39";11;40;0,002368439;"A11";"B40"
"40";11;41;0,000208728;"A11";"B41"
"41";11;44;0,006276786;"A11";"B44"
"42";11;45;0,000312988;"A11";"B45"
"43";11;46;1,24e-05;"A11";"B46"
"44";11;47;1,75e-05;"A11";"B47"
"45";11;48;1,76e-05;"A11";"B48"
"46";11;49;0,002123469;"A11";"B49"
"47";11;50;0,000463395;"A11";"B50"
"48";11;51;0,007033249;"A11";"B51"
"49";11;52;0,001353693;"A11";"B52"
"50";11;53;0,000575685;"A11";"B53"
"51";11;54;8,86e-09;"A11";"B54"
"52";11;55;0,003196095;"A11";"B55"
"53";11;56;0,000565948;"A11";"B56"
"54";11;57;0,000626571;"A11";"B57"
"55";11;58;0,000474849;"A11";"B58"
"56";11;7;0,002805655;"A11";"B7"
"57";11;8;0,001071889;"A11";"B8"
"58";2;13;0,005082318;"A2";"B13"
"59";2;14;0,009365773;"A2";"B14"
"60";2;15;0,017424955;"A2";"B15"
"61";2;18;0,01229085;"A2";"B18"
"62";2;27;0,00902564;"A2";"B27"
"63";2;35;0,022531736;"A2";"B35"
"64";2;37;0,00242257;"A2";"B37"
"65";2;38;0,003067957;"A2";"B38"
"66";2;39;0,005791139;"A2";"B39"
"67";2;40;0,010764972;"A2";"B40"
"68";2;41;0,003515292;"A2";"B41"
"69";2;42;3,87e-05;"A2";"B42"
"70";2;44;0,054322354;"A2";"B44"
"71";2;45;0,002744722;"A2";"B45"
"72";2;46;3,27e-05;"A2";"B46"
"73";2;47;0,00032707;"A2";"B47"
"74";2;48;0,000772487;"A2";"B48"
"75";2;49;0,008485423;"A2";"B49"
"76";2;50;0,019288531;"A2";"B50"
"77";2;51;0,045708192;"A2";"B51"
"78";2;52;0,00092182;"A2";"B52"
"79";2;53;0,001433895;"A2";"B53"
"80";2;55;0,001554389;"A2";"B55"
"81";2;56;0,0016886;"A2";"B56"
"82";2;57;0,005954662;"A2";"B57"
"83";2;58;0,007060448;"A2";"B58"
"84";2;67;0,000117413;"A2";"B67"
"85";2;7;0,015951051;"A2";"B7"
"86";2;73;0,000214549;"A2";"B73"
"87";2;8;0,007137338;"A2";"B8"
"88";23;13;0,000108594;"A23";"B13"
"89";23;14;0,002809766;"A23";"B14"
"90";23;15;0,000711084;"A23";"B15"
"91";23;18;0,000451688;"A23";"B18"
"92";23;27;0,00055558;"A23";"B27"
"93";23;35;0,001161955;"A23";"B35"
"94";23;37;0,000229258;"A23";"B37"
"95";23;38;0,000397401;"A23";"B38"
"96";23;39;0,000235413;"A23";"B39"
"97";23;40;0,00037724;"A23";"B40"
"98";23;41;0,000387799;"A23";"B41"
"99";23;42;3,93e-05;"A23";"B42"
"100";23;44;0,018232464;"A23";"B44"
"101";23;45;0,001449062;"A23";"B45"
"102";23;47;1,43e-06;"A23";"B47"
"103";23;48;5,31e-12;"A23";"B48"
"104";23;49;0,007203503;"A23";"B49"
"105";23;50;0,004835783;"A23";"B50"
"106";23;51;0,002066534;"A23";"B51"
"107";23;52;3,54e-05;"A23";"B52"
"108";23;53;7,3e-05;"A23";"B53"
