;A;B;C;DR;freq;AA;BB;CC;DDR
1;1;13;1;13;1,32E-05;A1;B13;C1;DR13
2;1;13;6;1;4,70E-05;A1;B13;C6;DR1
3;1;13;6;10;1,24E-11;A1;B13;C6;DR10
4;1;13;6;13;0,000158066;A1;B13;C6;DR13
5;1;13;6;14;2,56E-05;A1;B13;C6;DR14
6;1;13;6;7;0,000416597;A1;B13;C6;DR7
7;1;13;7;15;7,46E-06;A1;B13;C7;DR15
8;1;13;7;4;3,39E-05;A1;B13;C7;DR4
9;1;13;7;7;0,000141827;A1;B13;C7;DR7
10;1;14;15;16;1,32E-05;A1;B14;C15;DR16
11;1;14;15;4;9,15E-06;A1;B14;C15;DR4
12;1;14;2;1;8,76E-05;A1;B14;C2;DR1
13;1;14;2;15;2,64E-05;A1;B14;C2;DR15
14;1;14;6;1;1,32E-05;A1;B14;C6;DR1
15;1;14;8;1;0,000751024;A1;B14;C8;DR1
16;1;14;8;10;4,74E-05;A1;B14;C8;DR10
17;1;14;8;13;2,20E-05;A1;B14;C8;DR13
18;1;14;8;14;3,80E-05;A1;B14;C8;DR14
19;1;14;8;15;4,51E-05;A1;B14;C8;DR15
20;1;14;8;3;6,03E-05;A1;B14;C8;DR3
21;1;14;8;4;3,34E-05;A1;B14;C8;DR4
22;1;14;8;7;0,00054187;A1;B14;C8;DR7
23;1;14;8;8;1,43E-05;A1;B14;C8;DR8
24;1;15;1;9;0,000146697;A1;B15;C1;DR9
25;1;15;12;7;1,32E-05;A1;B15;C12;DR7
26;1;15;14;10;4,06E-05;A1;B15;C14;DR10
27;1;15;15;13;3,89E-05;A1;B15;C15;DR13
28;1;15;16;1;4,32E-07;A1;B15;C16;DR1
29;1;15;16;8;2,33E-05;A1;B15;C16;DR8
30;1;15;17;4;2,50E-05;A1;B15;C17;DR4
31;1;15;18;7;1,32E-05;A1;B15;C18;DR7
32;1;15;2;4;3,39E-05;A1;B15;C2;DR4
33;1;15;2;7;2,98E-05;A1;B15;C2;DR7
34;1;15;3;1;0,000112287;A1;B15;C3;DR1
35;1;15;3;13;0,000785137;A1;B15;C3;DR13
36;1;15;3;14;1,24E-05;A1;B15;C3;DR14
37;1;15;3;15;9,75E-05;A1;B15;C3;DR15
38;1;15;3;16;2,20E-05;A1;B15;C3;DR16
39;1;15;3;4;0,000218952;A1;B15;C3;DR4
40;1;15;3;7;4,10E-05;A1;B15;C3;DR7
41;1;15;3;8;4,89E-05;A1;B15;C3;DR8
42;1;15;4;8;6,13E-05;A1;B15;C4;DR8
43;1;15;5;4;2,63E-05;A1;B15;C5;DR4
44;1;15;6;8;1,31E-05;A1;B15;C6;DR8
45;1;15;7;11;5,76E-05;A1;B15;C7;DR11
46;1;15;7;13;0,001539452;A1;B15;C7;DR13
47;1;15;7;15;0,000142295;A1;B15;C7;DR15
48;1;15;7;16;1,38E-05;A1;B15;C7;DR16
49;1;15;7;4;7,49E-05;A1;B15;C7;DR4
50;1;18;12;7;1,34E-05;A1;B18;C12;DR7
51;1;18;16;13;5,75E-06;A1;B18;C16;DR13
52;1;18;2;13;1,52E-05;A1;B18;C2;DR13
53;1;18;5;13;1,20E-05;A1;B18;C5;DR13
54;1;18;5;15;8,14E-05;A1;B18;C5;DR15
55;1;18;5;3;0,000157839;A1;B18;C5;DR3
56;1;18;5;7;0,000548228;A1;B18;C5;DR7
57;1;18;5;8;1,97E-05;A1;B18;C5;DR8
58;1;18;6;1;7,69E-06;A1;B18;C6;DR1
59;1;18;6;11;6,33E-05;A1;B18;C6;DR11
60;1;18;6;7;0,000169837;A1;B18;C6;DR7
61;1;18;7;10;1,33E-05;A1;B18;C7;DR10
62;1;18;7;11;0,000342629;A1;B18;C7;DR11
63;1;18;7;13;2,55E-05;A1;B18;C7;DR13
64;1;18;7;14;4,23E-05;A1;B18;C7;DR14
65;1;18;7;8;3,67E-05;A1;B18;C7;DR8
66;1;27;1;1;5,14E-05;A1;B27;C1;DR1
67;1;27;1;13;0,000102321;A1;B27;C1;DR13
68;1;27;1;16;2,38E-05;A1;B27;C1;DR16
69;1;27;1;3;7,57E-05;A1;B27;C1;DR3
70;1;27;1;4;1,76E-05;A1;B27;C1;DR4
71;1;27;15;11;1,44E-05;A1;B27;C15;DR11
72;1;27;15;4;1,33E-05;A1;B27;C15;DR4
73;1;27;16;8;1,31E-05;A1;B27;C16;DR8
74;1;27;2;1;0,000208909;A1;B27;C2;DR1
75;1;27;2;11;0,00012098;A1;B27;C2;DR11
76;1;27;2;13;8,40E-05;A1;B27;C2;DR13
77;1;27;2;14;5,84E-05;A1;B27;C2;DR14
78;1;27;2;15;0,000384235;A1;B27;C2;DR15
79;1;27;2;3;0,000217401;A1;B27;C2;DR3
80;1;27;2;4;9,62E-05;A1;B27;C2;DR4
81;1;27;2;7;2,35E-05;A1;B27;C2;DR7
