;A;C;DR;freq;AA;CC;DDR
1880;80;8;3;8,76E-05;A80;C8;DR3
1879;80;7;8;9,10E-05;A80;C7;DR8
1878;80;7;7;2,73E-05;A80;C7;DR7
1877;80;7;3;3,06E-05;A80;C7;DR3
1876;80;4;9;1,06E-05;A80;C4;DR9
1875;80;4;7;9,06E-05;A80;C4;DR7
1874;80;4;15;3,36E-05;A80;C4;DR15
1873;80;4;13;0,000280356;A80;C4;DR13
1872;80;3;3;3,02E-05;A80;C3;DR3
1871;80;2;11;2,55E-05;A80;C2;DR11
1870;80;2;1;1,32E-05;A80;C2;DR1
1869;80;17;7;1,32E-05;A80;C17;DR7
1868;80;16;1;2,63E-05;A80;C16;DR1
1867;80;15;11;3,56E-06;A80;C15;DR11
1866;80;12;9;1,29E-05;A80;C12;DR9
1865;74;8;7;7,66E-05;A74;C8;DR7
1864;74;8;10;2,63E-05;A74;C8;DR10
1863;74;6;12;3,95E-05;A74;C6;DR12
1862;74;5;8;1,32E-05;A74;C5;DR8
1861;74;4;8;0,000138223;A74;C4;DR8
1860;74;4;7;0,000116485;A74;C4;DR7
1859;74;4;4;1,50E-05;A74;C4;DR4
1858;74;4;16;1,90E-05;A74;C4;DR16
1857;74;4;14;1,32E-05;A74;C4;DR14
1856;74;4;11;1,32E-07;A74;C4;DR11
1855;74;3;11;1,56E-05;A74;C3;DR11
1854;74;3;1;2,63E-05;A74;C3;DR1
1853;74;2;3;3,30E-05;A74;C2;DR3
1852;74;2;13;0,000360001;A74;C2;DR13
1851;74;2;11;0,000103763;A74;C2;DR11
1850;74;2;1;2,33E-06;A74;C2;DR1
1849;74;17;3;3,95E-05;A74;C17;DR3
1848;74;16;7;3,33E-05;A74;C16;DR7
1847;74;16;4;7,73E-06;A74;C16;DR4
1846;74;16;12;1,32E-05;A74;C16;DR12
1845;74;16;1;2,63E-05;A74;C16;DR1
1844;69;7;4;8,45E-05;A69;C7;DR4
1843;69;7;14;1,52E-05;A69;C7;DR14
1842;69;7;13;0,000689744;A69;C7;DR13
1841;69;6;15;2,54E-05;A69;C6;DR15
1840;69;5;7;1,71E-05;A69;C5;DR7
1839;69;5;4;4,03E-05;A69;C5;DR4
1838;69;5;3;2,41E-05;A69;C5;DR3
1837;69;5;14;0,000175956;A69;C5;DR14
1836;69;5;13;1,84E-05;A69;C5;DR13
1835;69;4;7;4,43E-05;A69;C4;DR7
1834;69;3;4;8,33E-05;A69;C3;DR4
1833;69;3;12;1,66E-05;A69;C3;DR12
1832;69;3;11;0,000434327;A69;C3;DR11
1831;69;3;1;0,00014961;A69;C3;DR1
1830;69;16;1;1,41E-05;A69;C16;DR1
1829;69;15;9;1,78E-05;A69;C15;DR9
1828;69;15;7;1,99E-05;A69;C15;DR7
1827;69;15;4;2,63E-05;A69;C15;DR4
1826;69;15;3;3,48E-05;A69;C15;DR3
1825;69;15;10;7,81E-05;A69;C15;DR10
1824;69;14;10;1,24E-05;A69;C14;DR10
1823;69;14;1;1,53E-05;A69;C14;DR1
1822;69;12;7;2,26E-05;A69;C12;DR7
1821;69;12;4;0,000312465;A69;C12;DR4
1820;69;12;3;4,43E-13;A69;C12;DR3
1819;69;12;15;0,00025728;A69;C12;DR15
1818;69;12;14;2,71E-05;A69;C12;DR14
1817;69;12;13;0,00018298;A69;C12;DR13
1816;69;12;11;0,00023403;A69;C12;DR11
1815;69;12;10;1,44E-05;A69;C12;DR10
1814;69;1;9;7,71E-05;A69;C1;DR9
1813;69;1;7;1,39E-05;A69;C1;DR7
1812;69;1;4;7,10E-06;A69;C1;DR4
1811;69;1;11;0,000169238;A69;C1;DR11
1810;68;8;8;9,99E-05;A68;C8;DR8
1809;68;8;7;0,000505552;A68;C8;DR7
1808;68;8;4;5,95E-05;A68;C8;DR4
1807;68;8;3;8,58E-06;A68;C8;DR3
1806;68;8;15;1,52E-05;A68;C8;DR15
1805;68;8;14;3,11E-06;A68;C8;DR14
1804;68;8;13;0,000681333;A68;C8;DR13
1803;68;8;12;0,000130853;A68;C8;DR12
1802;68;8;11;0,000115918;A68;C8;DR11
1801;68;8;1;0,000513574;A68;C8;DR1
1800;68;7;9;0,000182364;A68;C7;DR9
1799;68;7;8;0,000460203;A68;C7;DR8
1798;68;7;7;0,000671295;A68;C7;DR7
1797;68;7;4;0,002153067;A68;C7;DR4
1796;68;7;3;0,00251707;A68;C7;DR3
1795;68;7;16;5,18E-05;A68;C7;DR16
1794;68;7;15;0,002090987;A68;C7;DR15
1793;68;7;14;6,34E-05;A68;C7;DR14
1792;68;7;13;0,001985613;A68;C7;DR13
1791;68;7;12;8,06E-05;A68;C7;DR12
1790;68;7;11;0,001241758;A68;C7;DR11
1789;68;7;10;0,000105692;A68;C7;DR10
1788;68;7;1;0,000864412;A68;C7;DR1
1787;68;6;9;1,28E-05;A68;C6;DR9
1786;68;6;7;0,000310385;A68;C6;DR7
1785;68;6;4;0,000697404;A68;C6;DR4
1784;68;6;3;0,000895037;A68;C6;DR3
1783;68;6;15;4,13E-05;A68;C6;DR15
1782;68;6;14;3,85E-05;A68;C6;DR14
1781;68;6;11;0,000129541;A68;C6;DR11
1780;68;6;10;1,67E-05;A68;C6;DR10
1779;68;6;1;0,000160373;A68;C6;DR1
1778;68;5;8;3,87E-06;A68;C5;DR8
1777;68;5;7;5,82E-05;A68;C5;DR7
1776;68;5;4;0,000223033;A68;C5;DR4
1775;68;5;3;0,000116567;A68;C5;DR3
1774;68;5;15;0,000348188;A68;C5;DR15
1773;68;5;13;0,000689517;A68;C5;DR13
1772;68;5;12;6,37E-05;A68;C5;DR12
1771;68;5;11;4,42E-05;A68;C5;DR11
1770;68;5;1;6,39E-05;A68;C5;DR1
1769;68;4;9;3,55E-05;A68;C4;DR9
1768;68;4;8;0,000818625;A68;C4;DR8
1767;68;4;7;0,000861456;A68;C4;DR7
1766;68;4;4;0,000939142;A68;C4;DR4
1765;68;4;3;0,000163965;A68;C4;DR3
1764;68;4;16;0,00022394;A68;C4;DR16
1763;68;4;15;0,000160441;A68;C4;DR15
1762;68;4;14;4,32E-05;A68;C4;DR14
1761;68;4;13;0,002872209;A68;C4;DR13
1760;68;4;12;0,000180223;A68;C4;DR12
1759;68;4;11;0,000444932;A68;C4;DR11
1758;68;4;10;0,000605138;A68;C4;DR10
