"";"A";"DR";"freq";"AA";"DDR"
"1";1;1;0,00605664;"A1";"DR1"
"2";1;10;0,00315422;"A1";"DR10"
"3";1;11;0,00736914;"A1";"DR11"
"4";1;12;0,000719001;"A1";"DR12"
"5";1;13;0,013533265;"A1";"DR13"
"6";1;14;0,001053939;"A1";"DR14"
"7";1;15;0,007218825;"A1";"DR15"
"8";1;16;0,001449739;"A1";"DR16"
"9";1;3;0,033620793;"A1";"DR3"
"10";1;4;0,013365947;"A1";"DR4"
"11";1;7;0,017702485;"A1";"DR7"
"12";1;8;0,003224613;"A1";"DR8"
"13";1;9;0,000472514;"A1";"DR9"
"14";11;1;0,016266809;"A11";"DR1"
"15";11;10;0,000686144;"A11";"DR10"
"16";11;11;0,005768928;"A11";"DR11"
"17";11;12;0,002006279;"A11";"DR12"
"18";11;13;0,006656183;"A11";"DR13"
"19";11;14;0,00425803;"A11";"DR14"
"20";11;15;0,004238219;"A11";"DR15"
"21";11;16;0,001297956;"A11";"DR16"
"22";11;3;0,003095565;"A11";"DR3"
"23";11;4;0,010307286;"A11";"DR4"
"24";11;7;0,00738624;"A11";"DR7"
"25";11;8;0,00170473;"A11";"DR8"
"26";11;9;0,001142204;"A11";"DR9"
"27";2;1;0,026473931;"A2";"DR1"
"28";2;10;0,003911936;"A2";"DR10"
"29";2;11;0,032329168;"A2";"DR11"
"30";2;12;0,006923196;"A2";"DR12"
"31";2;13;0,043081852;"A2";"DR13"
"32";2;14;0,005942368;"A2";"DR14"
"33";2;15;0,018588131;"A2";"DR15"
"34";2;16;0,00972581;"A2";"DR16"
"35";2;3;0,021294354;"A2";"DR3"
"36";2;4;0,039531091;"A2";"DR4"
"37";2;7;0,045747332;"A2";"DR7"
"38";2;8;0,019602491;"A2";"DR8"
"39";2;9;0,001885847;"A2";"DR9"
"40";23;1;0,004339561;"A23";"DR1"
"41";23;10;0,000860872;"A23";"DR10"
"42";23;11;0,003670945;"A23";"DR11"
"43";23;12;0,00010718;"A23";"DR12"
"44";23;13;0,006003736;"A23";"DR13"
"45";23;14;0,001691767;"A23";"DR14"
"46";23;15;0,003706151;"A23";"DR15"
"47";23;16;0,000443755;"A23";"DR16"
"48";23;3;0,002926843;"A23";"DR3"
"49";23;4;0,003418583;"A23";"DR4"
"50";23;7;0,016462491;"A23";"DR7"
"51";23;8;0,00135172;"A23";"DR8"
"52";23;9;0,00011681;"A23";"DR9"
"53";24;1;0,010675104;"A24";"DR1"
"54";24;10;0,002066977;"A24";"DR10"
"55";24;11;0,015007332;"A24";"DR11"
"56";24;12;0,001224099;"A24";"DR12"
"57";24;13;0,018287829;"A24";"DR13"
"58";24;14;0,003873302;"A24";"DR14"
"59";24;15;0,010208109;"A24";"DR15"
"60";24;16;0,002618565;"A24";"DR16"
"61";24;3;0,009158585;"A24";"DR3"
"62";24;4;0,011949787;"A24";"DR4"
"63";24;7;0,013578375;"A24";"DR7"
"64";24;8;0,003867429;"A24";"DR8"
"65";24;9;0,00031924;"A24";"DR9"
"66";25;1;0,001618077;"A25";"DR1"
"67";25;10;0,000139567;"A25";"DR10"
"68";25;11;0,000739911;"A25";"DR11"
"69";25;12;7,82e-05;"A25";"DR12"
"70";25;13;0,002047689;"A25";"DR13"
"71";25;14;0,00071474;"A25";"DR14"
"72";25;15;0,004667001;"A25";"DR15"
"73";25;16;0,00048113;"A25";"DR16"
"74";25;3;0,000455896;"A25";"DR3"
"75";25;4;0,001385876;"A25";"DR4"
"76";25;7;0,003403716;"A25";"DR7"
"77";25;8;0,000193292;"A25";"DR8"
"78";25;9;0,000130468;"A25";"DR9"
"79";26;1;0,002769575;"A26";"DR1"
"80";26;10;0,000450278;"A26";"DR10"
"81";26;11;0,004762297;"A26";"DR11"
"82";26;12;0,000173454;"A26";"DR12"
"83";26;13;0,005897379;"A26";"DR13"
"84";26;14;0,001021761;"A26";"DR14"
"85";26;15;0,003549588;"A26";"DR15"
"86";26;16;0,001064656;"A26";"DR16"
"87";26;3;0,002062818;"A26";"DR3"
"88";26;4;0,00482489;"A26";"DR4"
"89";26;7;0,005453769;"A26";"DR7"
"90";26;8;0,000739251;"A26";"DR8"
"91";26;9;0,00014424;"A26";"DR9"
"92";29;1;0,003165154;"A29";"DR1"
"93";29;10;0,000855772;"A29";"DR10"
"94";29;11;0,002668475;"A29";"DR11"
"95";29;12;0,000869866;"A29";"DR12"
"96";29;13;0,006551795;"A29";"DR13"
"97";29;14;0,001201658;"A29";"DR14"
"98";29;15;0,003346681;"A29";"DR15"
"99";29;16;0,001115101;"A29";"DR16"
"100";29;3;0,002339526;"A29";"DR3"
"101";29;4;0,004122364;"A29";"DR4"
"102";29;7;0,024615784;"A29";"DR7"
"103";29;8;0,001601922;"A29";"DR8"
"104";29;9;0,001082079;"A29";"DR9"
"105";3;1;0,018032309;"A3";"DR1"
"106";3;10;0,001744328;"A3";"DR10"
"107";3;11;0,01144118;"A3";"DR11"
"108";3;12;0,000883731;"A3";"DR12"
"109";3;13;0,016073791;"A3";"DR13"
"110";3;14;0,001997487;"A3";"DR14"
"111";3;15;0,016845851;"A3";"DR15"
"112";3;16;0,002502759;"A3";"DR16"
"113";3;3;0,005525058;"A3";"DR3"
"114";3;4;0,012415605;"A3";"DR4"
"115";3;7;0,012182349;"A3";"DR7"
"116";3;8;0,0034995;"A3";"DR8"
"117";3;9;0,000480404;"A3";"DR9"
"118";30;1;0,002109428;"A30";"DR1"
"119";30;10;0,000262282;"A30";"DR10"
"120";30;11;0,002569107;"A30";"DR11"
"121";30;12;0,000342494;"A30";"DR12"
"122";30;13;0,003197895;"A30";"DR13"
"123";30;14;0,000604536;"A30";"DR14"
"124";30;15;0,000980675;"A30";"DR15"
"125";30;16;0,000397821;"A30";"DR16"
"126";30;3;0,006613791;"A30";"DR3"
"127";30;4;0,002227015;"A30";"DR4"
"128";30;7;0,007503478;"A30";"DR7"
"129";30;8;0,001384507;"A30";"DR8"
"130";30;9;6,22e-05;"A30";"DR9"
"131";31;1;0,00355426;"A31";"DR1"
"132";31;10;0,000116035;"A31";"DR10"
"133";31;11;0,002683264;"A31";"DR11"
"134";31;12;0,000341918;"A31";"DR12"
"135";31;13;0,003324185;"A31";"DR13"
"136";31;14;0,000872289;"A31";"DR14"
"137";31;15;0,001393959;"A31";"DR15"
"138";31;16;0,000373359;"A31";"DR16"
"139";31;3;0,001178305;"A31";"DR3"
"140";31;4;0,005593535;"A31";"DR4"
"141";31;7;0,00344291;"A31";"DR7"
"142";31;8;0,002095955;"A31";"DR8"
"143";31;9;0,000218875;"A31";"DR9"
"144";32;1;0,004711246;"A32";"DR1"
"145";32;10;0,001080207;"A32";"DR10"
"146";32;11;0,004116091;"A32";"DR11"
"147";32;12;0,000859573;"A32";"DR12"
"148";32;13;0,006681271;"A32";"DR13"
"149";32;14;0,001041128;"A32";"DR14"
"150";32;15;0,002451875;"A32";"DR15"
"151";32;16;0,001519579;"A32";"DR16"
"152";32;3;0,002570974;"A32";"DR3"
"153";32;4;0,007111249;"A32";"DR4"
"154";32;7;0,006243602;"A32";"DR7"
"155";32;8;0,000742976;"A32";"DR8"
"156";32;9;4,85e-05;"A32";"DR9"
"157";33;1;0,01642599;"A33";"DR1"
"158";33;10;0,000250972;"A33";"DR10"
"159";33;11;0,001714835;"A33";"DR11"
"160";33;12;0,000127984;"A33";"DR12"
"161";33;13;0,004049385;"A33";"DR13"
"162";33;14;0,000372277;"A33";"DR14"
"163";33;15;0,001727777;"A33";"DR15"
"164";33;16;0,000445796;"A33";"DR16"
"165";33;3;0,002848099;"A33";"DR3"
"166";33;4;0,001478694;"A33";"DR4"
"167";33;7;0,004111339;"A33";"DR7"
"168";33;8;0,001490241;"A33";"DR8"
"169";33;9;6,83e-05;"A33";"DR9"
"170";34;1;0,000271632;"A34";"DR1"
"171";34;11;0,000195949;"A34";"DR11"
"172";34;12;5,01e-10;"A34";"DR12"
"173";34;13;0,000369619;"A34";"DR13"
"174";34;14;6,92e-05;"A34";"DR14"
"175";34;15;6,07e-06;"A34";"DR15"
"176";34;16;7,1e-12;"A34";"DR16"
"177";34;3;0,002544584;"A34";"DR3"
"178";34;4;0,000431439;"A34";"DR4"
