"";"B";"n";"freq";"BB"
"1";7;4573;0,06;"B7"
"2";8;5097;0,067;"B8"
"3";13;1168;0,015;"B13"
"4";14;5753;0,076;"B14"
"5";15;4291;0,056;"B15"
"6";18;3624;0,048;"B18"
"7";27;2337;0,031;"B27"
"8";35;8946;0,118;"B35"
"9";37;994;0,013;"B37"
"10";38;1818;0,024;"B38"
"11";39;1318;0,017;"B39"
"12";40;2633;0,035;"B40"
"13";41;859;0,011;"B41"
"14";42;89;0,001;"B42"
"15";44;11426;0,15;"B44"
"16";45;1001;0,013;"B45"
"17";46;4;0;"B46"
"18";47;204;0,003;"B47"
"19";48;64;0,001;"B48"
"20";49;2579;0,034;"B49"
"21";50;2851;0,038;"B50"
"22";51;8122;0,107;"B51"
"23";52;560;0,007;"B52"
"24";53;813;0,011;"B53"
"25";54;4;0;"B54"
"26";55;832;0,011;"B55"
"27";56;291;0,004;"B56"
"28";57;2173;0,029;"B57"
"29";58;1422;0,019;"B58"
"30";67;23;0;"B67"
"31";73;28;0;"B73"
"32";78;82;0,001;"B78"
"33";81;6;0;"B81"
"34";82;1;0;"B82"
