"";"B";"DR";"freq";"BB";"DDR"
"1";13;1;0,000274339;"B13";"DR1"
"2";13;10;0,000114257;"B13";"DR10"
"3";13;11;0,000573138;"B13";"DR11"
"4";13;12;8,13e-05;"B13";"DR12"
"5";13;13;0,000820796;"B13";"DR13"
"6";13;14;6,8e-05;"B13";"DR14"
"7";13;15;0,000370272;"B13";"DR15"
"8";13;16;0,000579785;"B13";"DR16"
"9";13;3;0,000243026;"B13";"DR3"
"10";13;4;0,000769776;"B13";"DR4"
"11";13;7;0,011222883;"B13";"DR7"
"12";13;8;0,000200787;"B13";"DR8"
"13";13;9;5,29e-05;"B13";"DR9"
"14";14;1;0,039177796;"B14";"DR1"
"15";14;10;0,000883417;"B14";"DR10"
"16";14;11;0,002647969;"B14";"DR11"
"17";14;12;0,000264817;"B14";"DR12"
"18";14;13;0,005093288;"B14";"DR13"
"19";14;14;0,000468045;"B14";"DR14"
"20";14;15;0,002130637;"B14";"DR15"
"21";14;16;0,0001563;"B14";"DR16"
"22";14;3;0,004728447;"B14";"DR3"
"23";14;4;0,003608236;"B14";"DR4"
"24";14;7;0,014873581;"B14";"DR7"
"25";14;8;0,001564814;"B14";"DR8"
"26";14;9;0,000113967;"B14";"DR9"
"27";15;1;0,005029815;"B15";"DR1"
"28";15;10;0,000826785;"B15";"DR10"
"29";15;11;0,006894746;"B15";"DR11"
"30";15;12;0,000346082;"B15";"DR12"
"31";15;13;0,01667477;"B15";"DR13"
"32";15;14;0,000563452;"B15";"DR14"
"33";15;15;0,003165691;"B15";"DR15"
"34";15;16;0,000463969;"B15";"DR16"
"35";15;3;0,001937162;"B15";"DR3"
"36";15;4;0,009508587;"B15";"DR4"
"37";15;7;0,006520281;"B15";"DR7"
"38";15;8;0,003069025;"B15";"DR8"
"39";15;9;0,001470564;"B15";"DR9"
"40";18;1;0,001858607;"B18";"DR1"
"41";18;10;0,00057181;"B18";"DR10"
"42";18;11;0,008744418;"B18";"DR11"
"43";18;12;0,000130775;"B18";"DR12"
"44";18;13;0,005521881;"B18";"DR13"
"45";18;14;0,00144729;"B18";"DR14"
"46";18;15;0,006902817;"B18";"DR15"
"47";18;16;0,000395298;"B18";"DR16"
"48";18;3;0,011864121;"B18";"DR3"
"49";18;4;0,004605207;"B18";"DR4"
"50";18;7;0,003243253;"B18";"DR7"
"51";18;8;0,002071138;"B18";"DR8"
"52";18;9;0,000336381;"B18";"DR9"
"53";27;1;0,007568152;"B27";"DR1"
"54";27;10;4,86e-05;"B27";"DR10"
"55";27;11;0,004301716;"B27";"DR11"
"56";27;12;0,000287631;"B27";"DR12"
"57";27;13;0,003748022;"B27";"DR13"
"58";27;14;0,000527173;"B27";"DR14"
"59";27;15;0,002550317;"B27";"DR15"
"60";27;16;0,000574951;"B27";"DR16"
"61";27;3;0,002099258;"B27";"DR3"
"62";27;4;0,004669292;"B27";"DR4"
"63";27;7;0,002004423;"B27";"DR7"
"64";27;8;0,002191654;"B27";"DR8"
"65";27;9;0,000184503;"B27";"DR9"
"66";35;1;0,030289163;"B35";"DR1"
"67";35;10;0,00173946;"B35";"DR10"
"68";35;11;0,020225939;"B35";"DR11"
"69";35;12;0,002578959;"B35";"DR12"
"70";35;13;0,013318165;"B35";"DR13"
"71";35;14;0,008062373;"B35";"DR14"
"72";35;15;0,005306845;"B35";"DR15"
"73";35;16;0,002309161;"B35";"DR16"
"74";35;3;0,006032487;"B35";"DR3"
"75";35;4;0,014474631;"B35";"DR4"
"76";35;7;0,008696331;"B35";"DR7"
"77";35;8;0,004361656;"B35";"DR8"
"78";35;9;0,000337044;"B35";"DR9"
"79";37;1;0,000960613;"B37";"DR1"
"80";37;10;0,003782329;"B37";"DR10"
"81";37;11;0,000999812;"B37";"DR11"
"82";37;12;7,57e-05;"B37";"DR12"
"83";37;13;0,002023883;"B37";"DR13"
"84";37;14;0,00028484;"B37";"DR14"
"85";37;15;0,000737547;"B37";"DR15"
"86";37;16;0,000113642;"B37";"DR16"
"87";37;3;0,000322437;"B37";"DR3"
"88";37;4;0,001728635;"B37";"DR4"
"89";37;7;0,00103559;"B37";"DR7"
"90";37;8;0,001016307;"B37";"DR8"
"91";37;9;2,8e-11;"B37";"DR9"
"92";38;1;0,000715871;"B38";"DR1"
"93";38;10;0,000228022;"B38";"DR10"
"94";38;11;0,002927864;"B38";"DR11"
"95";38;12;0,000221818;"B38";"DR12"
"96";38;13;0,010220336;"B38";"DR13"
"97";38;14;0,001143972;"B38";"DR14"
"98";38;15;0,000828696;"B38";"DR15"
"99";38;16;0,000555648;"B38";"DR16"
"100";38;3;0,000859161;"B38";"DR3"
"101";38;4;0,003401637;"B38";"DR4"
