;C;DR;freq;CC;DDR
1;1;1;0,009213535;C1;DR1
2;1;10;0,000640304;C1;DR10
3;1;11;0,001557682;C1;DR11
4;1;12;0,000340813;C1;DR12
5;1;13;0,003946542;C1;DR13
6;1;14;0,000687048;C1;DR14
7;1;15;0,001049307;C1;DR15
8;1;16;0,000215605;C1;DR16
9;1;3;0,000629687;C1;DR3
10;1;4;0,001684367;C1;DR4
11;1;7;0,000990557;C1;DR7
12;1;8;0,001999589;C1;DR8
13;1;9;0,001509997;C1;DR9
14;12;1;0,003488888;C12;DR1
15;12;10;0,00026805;C12;DR10
16;12;11;0,010931242;C12;DR11
17;12;12;0,000501625;C12;DR12
18;12;13;0,013621569;C12;DR13
19;12;14;0,003643591;C12;DR14
20;12;15;0,012297373;C12;DR15
21;12;16;0,0053839;C12;DR16
22;12;3;0,001645932;C12;DR3
23;12;4;0,006459718;C12;DR4
24;12;7;0,005631088;C12;DR7
25;12;8;0,003254383;C12;DR8
26;12;9;0,000121872;C12;DR9
27;14;1;0,002683938;C14;DR1
28;14;10;0,000259255;C14;DR10
29;14;11;0,004068557;C14;DR11
30;14;12;7,65E-05;C14;DR12
31;14;13;0,004289573;C14;DR13
32;14;14;0,000781195;C14;DR14
33;14;15;0,000872653;C14;DR15
34;14;16;0,000328632;C14;DR16
35;14;3;0,001026484;C14;DR3
36;14;4;0,003225636;C14;DR4
37;14;7;0,003419536;C14;DR7
38;14;8;0,0080954;C14;DR8
39;14;9;0,000141226;C14;DR9
40;15;1;0,003819824;C15;DR1
41;15;10;0,001083134;C15;DR10
42;15;11;0,006287454;C15;DR11
43;15;12;0,001323877;C15;DR12
44;15;13;0,007477085;C15;DR13
45;15;14;0,00171513;C15;DR14
46;15;15;0,004300244;C15;DR15
47;15;16;0,002184965;C15;DR16
48;15;3;0,001950291;C15;DR3
49;15;4;0,012048553;C15;DR4
50;15;7;0,006992461;C15;DR7
51;15;8;0,002868394;C15;DR8
52;15;9;0,000997836;C15;DR9
53;16;1;0,002322168;C16;DR1
54;16;10;0,002988445;C16;DR10
55;16;11;0,004294333;C16;DR11
56;16;12;0,001365726;C16;DR12
57;16;13;0,005615512;C16;DR13
58;16;14;0,001020381;C16;DR14
59;16;15;0,003363488;C16;DR15
60;16;16;0,001132263;C16;DR16
61;16;3;0,001874337;C16;DR3
62;16;4;0,007084806;C16;DR4
63;16;7;0,035019954;C16;DR7
64;16;8;0,000653981;C16;DR8
65;16;9;0,000132185;C16;DR9
66;17;1;0,000123981;C17;DR1
67;17;10;0,000183768;C17;DR10
68;17;11;0,000432732;C17;DR11
69;17;12;1,54E-05;C17;DR12
70;17;13;0,004515602;C17;DR13
71;17;14;9,71E-05;C17;DR14
72;17;15;0,000166727;C17;DR15
73;17;16;0,00014009;C17;DR16
74;17;3;0,002043022;C17;DR3
75;17;4;0,000673093;C17;DR4
76;17;7;0,002005192;C17;DR7
77;17;8;0,000167823;C17;DR8
78;17;9;3,21E-06;C17;DR9
79;18;1;0,000297457;C18;DR1
80;18;10;1,18E-05;C18;DR10
81;18;11;1,66E-05;C18;DR11
82;18;13;6,78E-05;C18;DR13
83;18;15;0,000250321;C18;DR15
84;18;16;1,62E-05;C18;DR16
85;18;4;1,72E-10;C18;DR4
86;18;7;3,78E-05;C18;DR7
87;18;9;1,27E-05;C18;DR9
88;2;1;0,011870854;C2;DR1
89;2;10;0,000664641;C2;DR10
90;2;11;0,008813131;C2;DR11
91;2;12;0,00095064;C2;DR12
92;2;13;0,014501937;C2;DR13
93;2;14;0,000241988;C2;DR14
94;2;15;0,005043627;C2;DR15
95;2;16;0,002176736;C2;DR16
96;2;3;0,003011386;C2;DR3
97;2;4;0,007677991;C2;DR4
98;2;7;0,006194225;C2;DR7
99;2;8;0,001994476;C2;DR8
100;2;9;0,000277945;C2;DR9
101;3;1;0,004632936;C3;DR1
102;3;10;0,000145167;C3;DR10
103;3;11;0,008193525;C3;DR11
104;3;12;0,000370862;C3;DR12
105;3;13;0,013807957;C3;DR13
106;3;14;0,003717711;C3;DR14
107;3;15;0,005105726;C3;DR15
108;3;16;0,001745104;C3;DR16
109;3;3;0,002776254;C3;DR3
110;3;4;0,016789765;C3;DR4
111;3;7;0,005801531;C3;DR7
112;3;8;0,003659186;C3;DR8
113;3;9;0,00075355;C3;DR9
114;4;1;0,032603706;C4;DR1
115;4;10;0,002348838;C4;DR10
116;4;11;0,020947649;C4;DR11
117;4;12;0,001828909;C4;DR12
118;4;13;0,021061047;C4;DR13
119;4;14;0,007619924;C4;DR14
120;4;15;0,005999575;C4;DR15
121;4;16;0,002632567;C4;DR16
122;4;3;0,007360289;C4;DR3
123;4;4;0,017783882;C4;DR4
124;4;7;0,02855148;C4;DR7
125;4;8;0,005632432;C4;DR8
126;4;9;0,000368735;C4;DR9
127;5;1;0,004366287;C5;DR1
128;5;10;0,000496731;C5;DR10
129;5;11;0,005775288;C5;DR11
130;5;12;0,005349152;C5;DR12
131;5;13;0,016035056;C5;DR13
132;5;14;0,001567766;C5;DR14
133;5;15;0,003561497;C5;DR15
134;5;16;0,000599685;C5;DR16
135;5;3;0,012961392;C5;DR3
